prov lingala	French	signification
Mibeko ezanga bosembo ebota kanda.	Des règles sans justice produisent la colère.	Des normes injustes créent frustration et conflit.
Mwana oyo batikaka koyekola akoki kozanga nzela ya lobi.	L'enfant qu'on prive d'éducation peut manquer de chemin demain.	L'éducation ouvre des possibilités pour l'avenir.
Kelasi efungolaka baporte oyo mbongo kaka ekoki te.	L'école ouvre des portes que l'argent seul ne peut pas ouvrir.	Le savoir donne des opportunités particulières.
Moto atangaka mpo na examen kaka abosana noki.	Celui qui étudie seulement pour l'examen oublie vite.	Apprendre pour comprendre est plus durable qu'apprendre pour réussir un test.
Koyeba kokoma ezali porte ya koyeba mingi.	Savoir écrire est une porte vers beaucoup de connaissances.	La maîtrise de l'écrit facilite l'apprentissage.
Koyeba kotanga ezali lokola kozwa liso ya mibale.	Savoir lire, c'est comme recevoir un deuxième œil.	La lecture élargit la perception du monde.
Mwana oyo atunaka mingi azali kotonga mayele.	L'enfant qui pose beaucoup de questions construit son intelligence.	La curiosité favorise l'apprentissage.
Molakisi ya malamu ateyaka mpe ndenge ya kokanisa.	Un bon professeur enseigne aussi comment penser.	L'éducation doit développer le raisonnement, pas seulement transmettre des faits.
Koyekola esengaka komikitisa.	Apprendre exige de l'humilité.	Il faut accepter de ne pas savoir pour progresser.
Moto oyo ayebi mingi asengeli kaka koyekola lisusu.	Celui qui sait beaucoup doit encore continuer à apprendre.	La connaissance n'a pas de fin.
Buku ezali moninga oyo alembaka te koyanola.	Un livre est un ami qui ne se fatigue pas de répondre.	La lecture reste une source constante de savoir.
Koyeba monoko ya moto ezali kofungola porte ya motema na ye.	Connaître la langue de quelqu'un, c'est ouvrir la porte de son cœur.	La langue facilite une communication plus profonde.
Maloba ebongisaka to ebebisaka pont kati na bato.	Les paroles construisent ou détruisent des ponts entre les gens.	La communication influence fortement les relations.
Soki oyebi koloba, yeba mpe koyoka.	Si tu sais parler, sache aussi écouter.	Une bonne communication exige les deux.
Maloba ya limemya efungolaka matoyi.	Les paroles respectueuses ouvrent les oreilles.	Le respect rend les autres plus disposés à écouter.
Koganga mingi ekómisaka solo makasi te.	Crier plus fort ne rend pas la vérité plus forte.	Le volume ne remplace pas la qualité d'un argument.
Moto oyo azali na raison asengeli te kofinga.	Celui qui a raison n'a pas besoin d'insulter.	Un bon argument n'exige pas l'agressivité.
Kososola liboso ya koyanola ezali bwanya.	Comprendre avant de répondre est une sagesse.	Il faut saisir le sens d'un propos avant de réagir.
Maloba ya polele ekitisaka matata.	Des paroles claires réduisent les conflits.	La clarté prévient les malentendus.
Kobomba makanisi nyonso ekoki kobota distance.	Cacher toutes ses pensées peut créer de la distance.	Une communication honnête est importante dans les relations.
Kosolola na ntango ebongi ebikisaka relation.	Parler au bon moment sauve une relation.	Le moment choisi pour discuter peut être décisif.
Moto oyo akoki koloba te 'nayebi te' akoki te koyekola malamu.	Celui qui ne peut pas dire « je ne sais pas » apprend difficilement.	Reconnaître ses limites est nécessaire pour progresser.
Ntembe malamu ebota motuna malamu.	Un bon doute produit une bonne question.	Le doute raisonné favorise la connaissance.
Motuna ezanga somo ekoki komema na solo.	Une question posée sans peur peut conduire à la vérité.	La curiosité courageuse aide à découvrir.
Kondima nyonso ezanga kotala ezali likama.	Tout croire sans vérifier est dangereux.	L'esprit critique protège contre l'erreur.
Soki information euti mosika, tala source na yango.	Si une information vient de loin, vérifie sa source.	Il faut contrôler l'origine des informations.
Maloba oyo bato mingi bazongelaka ekómaka solo te mpo na yango.	Une parole répétée par beaucoup ne devient pas vraie pour autant.	La popularité d'une affirmation ne prouve pas sa vérité.
Solo esengaka preuve ntango mosusu.	La vérité exige parfois des preuves.	Les affirmations importantes doivent être vérifiées.
Moto ya mayele akesenisaka oyo ayebi na oyo akanisi.	La personne sage distingue ce qu'elle sait de ce qu'elle pense.	Il faut séparer les faits des opinions.
Kokanisa malamu ezali kosala mosala liboso ya kosala.	Bien réfléchir, c'est travailler avant d'agir.	La réflexion prépare une action plus efficace.
Mayele ezalaka na kotuna 'mpo na nini'.	La sagesse consiste aussi à demander « pourquoi ». 	Chercher les causes permet de mieux comprendre.
Mombongo ezanga calcul ekoki kokóma lisano ya chance.	Un commerce sans calcul peut devenir un jeu de hasard.	Les affaires nécessitent analyse et gestion.
Profit ezali te kaka mbongo oyo ekoti.	Le profit n'est pas seulement l'argent qui entre.	Il faut tenir compte des coûts pour connaître le vrai bénéfice.
Soki dépenses eleki revenus, problème ezali pene.	Si les dépenses dépassent les revenus, le problème est proche.	Un déséquilibre financier prolongé est dangereux.
Client oyo azongi azali signe ya confiance.	Un client qui revient est un signe de confiance.	La fidélité des clients indique souvent une bonne expérience.
Kombo ya entreprise etongamaka na service.	La réputation d'une entreprise se construit par le service.	La qualité du service influence directement l'image d'une entreprise.
Kobengisa client ezali moke, kobatela ye ezali monene.	Attirer un client est une chose, le garder en est une plus grande.	La fidélisation est aussi importante que l'acquisition.
Produit ya malamu ezangi koyebisa bato ekoki kotikala na ndako.	Un bon produit dont personne n'entend parler peut rester à la maison.	La qualité doit aussi être accompagnée de communication.
Publicité ekoki kobenda, qualité nde ezongisaka client.	La publicité peut attirer, mais la qualité fait revenir le client.	Le marketing attire l'attention, l'expérience crée la fidélité.
Mombongo ya molai etongamaka na confiance, te na lokuta.	Un commerce durable se construit sur la confiance, pas sur le mensonge.	L'honnêteté favorise la pérennité commerciale.
Kobakisa valeur eleki kokitisa ntalo ntango nyonso.	Ajouter de la valeur vaut souvent mieux que toujours baisser le prix.	La concurrence ne doit pas reposer uniquement sur les prix.
Moto oyo azali na santé ayebaka motuya na yango te tii ntango ebebi.	Celui qui est en bonne santé n'en connaît parfois la valeur que lorsqu'elle se dégrade.	On sous-estime souvent la santé tant qu'on ne la perd pas.
Kopema ezali mpe eteni ya mosala.	Se reposer fait aussi partie du travail.	Le repos est nécessaire à une performance durable.
Nzoto elembi esengaka koyokama.	Un corps fatigué demande à être écouté.	Il faut respecter les signes de fatigue.
Mosala ezanga bopemi ekoki kobebisa makasi.	Le travail sans repos peut détruire les forces.	L'excès de travail nuit à la santé.
Bilei ya malamu ezali nkisi ya liboso.	Une bonne alimentation est un premier remède.	Une alimentation équilibrée contribue à la santé.
Kokebela santé liboso ezali pete koleka kobikisa sima.	Prendre soin de sa santé avant est plus facile que guérir après.	La prévention est préférable au traitement tardif.
Motema ya kimia esalisaka nzoto.	Un cœur paisible aide le corps.	Le bien-être mental contribue à la santé physique.
Koseka ezali nkisi oyo ezanga facture.	Rire est un remède sans facture.	La joie et l'humour peuvent contribuer au bien-être.
Nzoto ezali ndako ya bomoi.	Le corps est la maison de la vie.	Prendre soin de son corps est essentiel.
Moto ya mayele abatelaka nzoto na ye liboso ya mpasi.	La personne sage prend soin de son corps avant la maladie.	La prévention est une démarche de sagesse.
Bolingo ezalaka na patience, kasi mpe na ndelo.	L'amour demande de la patience, mais aussi des limites.	Une relation saine a besoin d'affection et de limites claires.
Kolimbisa elingi koloba te kobosana liteya.	Pardonner ne signifie pas oublier la leçon.	On peut pardonner tout en apprenant de ce qui s'est passé.
Confiance ezongaka mokemoke sima ya kobukana.	La confiance revient peu à peu après avoir été brisée.	Reconstruire la confiance demande du temps.
Bolingo ya solo ebangaka solo te.	Le véritable amour ne craint pas la vérité.	Une relation sincère peut supporter une communication honnête.
Kobatela relation esengaka bato mibale.	Préserver une relation exige deux personnes.	Une relation durable nécessite un effort réciproque.
Moto moko akoki te kosala relation ya bato mibale ye moko.	Une seule personne ne peut pas porter seule une relation de deux.	Les deux parties doivent contribuer.
Soki limemya ekufi, bolingo ekómaka na mpasi.	Quand le respect meurt, l'amour devient difficile.	Le respect est fondamental à la stabilité d'une relation.
Koyebisa solo na boboto ezali bolingo.	Dire la vérité avec douceur est une forme d'amour.	La sincérité peut être bienveillante.
Koyoka moto ezali mpe kolinga ye.	Écouter quelqu'un, c'est aussi l'aimer.	L'attention et l'écoute expriment l'affection.
Bolingo ekolaka na misala ya mikolo nyonso.	L'amour grandit dans les gestes de chaque jour.	Les petites actions régulières nourrissent les relations.
Mwana akolaka na miso ya bato mingi.	Un enfant grandit sous les yeux de beaucoup de gens.	La communauté participe à l'éducation et à la protection des enfants.
Baboti bateyaka mingi na ndenge bazali kosala.	Les parents enseignent beaucoup par leur manière d'agir.	L'exemple parental influence fortement les enfants.
Mwana ayokaka maloba, kasi amekolaka misala.	L'enfant entend les paroles mais imite les actes.	Les comportements des adultes sont souvent plus influents que leurs discours.
Discipline ezanga bolingo ekoki kobota somo.	La discipline sans amour peut produire la peur.	L'éducation doit équilibrer règles et affection.
Bolingo ezanga discipline ekoki kobota mobulu.	L'amour sans discipline peut produire le désordre.	L'affection doit aussi inclure des limites.
Mwana asengeli koyeba ete libunga ezali suka te.	Un enfant doit savoir qu'une erreur n'est pas la fin.	Il faut apprendre aux enfants à voir l'erreur comme une occasion d'apprendre.
Kosala question na mwana esalisaka ye kokanisa.	Poser des questions à un enfant l'aide à réfléchir.	L'éducation active développe le raisonnement.
Mwana oyo bapesi mokumba ayekolaka responsabilité.	L'enfant à qui l'on donne des responsabilités apprend la responsabilité.	Les petites tâches développent l'autonomie.
Koyoka mwana ezali mpe eteni ya kobokola ye.	Écouter un enfant fait aussi partie de son éducation.	L'écoute contribue au développement affectif et social.
Libota ezali kelasi ya liboso.	La famille est la première école.	Les premiers apprentissages de la vie commencent dans la famille.
Moto oyo azali na ndoto asengeli mpe kozala na plan.	Celui qui a un rêve doit aussi avoir un plan.	Un rêve devient plus concret lorsqu'il est organisé.
Ndoto ezanga mosala etikalaka ndoto.	Un rêve sans travail reste un rêve.	Les aspirations demandent des efforts pour devenir réalité.
Mokano monene ekabolamaka na ba étapes mike.	Un grand objectif se divise en petites étapes.	Découper un objectif facilite sa réalisation.
Etape moko lelo eleki plan monene ezanga action.	Une étape aujourd'hui vaut mieux qu'un grand plan sans action.	Un petit progrès réel vaut mieux qu'une intention non exécutée.
Kobanda moke ezali te kozala moke.	Commencer petit ne signifie pas rester petit.	Les grandes réussites peuvent commencer modestement.
Moto oyo azali kokola amonaka mbongwana mokolo nyonso te.	Celui qui grandit ne voit pas le changement chaque jour.	Le progrès est parfois lent et difficile à percevoir.
Kokola esengaka ntango mpe repetition.	Grandir demande du temps et de la répétition.	Le développement résulte d'efforts réguliers.
Kobeta libaku na nzela ezali te kokoma suka.	Trébucher sur le chemin ne signifie pas être arrivé à la fin.	Un revers temporaire ne met pas fin au parcours.
Soki mokano ezali polele, makolo elandaka.	Quand l'objectif est clair, les pieds suivent.	La clarté des buts facilite l'action.
Ndoto ekómaka mosala ntango date ekoti.	Un rêve devient un projet lorsqu'une date y est attachée.	Fixer une échéance rend un objectif plus concret.
Moto oyo azali na kimia na motema alalaka malamu.	Celui qui a la paix dans le cœur dort bien.	Une conscience tranquille favorise le repos.
Motema ezangi kimia ekoki kozanga esengo ata na bozwi.	Un cœur sans paix peut manquer de joie même dans la richesse.	Le bien-être intérieur ne dépend pas uniquement des biens matériels.
Esengo ya solo ezangaka besoin ya kolakisa bato nyonso.	Le vrai bonheur n'a pas besoin d'être montré à tout le monde.	Le bonheur peut être vécu sans recherche constante d'approbation.
Kosepela na oyo ozali na yango ezali bozwi.	Être content de ce que l'on a est une richesse.	La gratitude crée un sentiment d'abondance.
Motema ya matondo emonaka mingi.	Un cœur reconnaissant voit beaucoup.	La gratitude aide à remarquer les aspects positifs de la vie.
Moto oyo azali kotala kaka oyo azangi akoki kobosana oyo azali na yango.	Celui qui regarde seulement ce qui lui manque peut oublier ce qu'il possède.	Se concentrer uniquement sur le manque empêche d'apprécier le présent.
Esengo ekoki kozala na mesa ya moke soki motema ezali malamu.	La joie peut se trouver autour d'une petite table si le cœur est bon.	Le bonheur ne dépend pas de l'abondance matérielle.
Kozala na bato ya malamu pembeni ezali lipamboli.	Avoir de bonnes personnes autour de soi est une bénédiction.	Les relations positives ont une grande valeur.
Kimia ezali bozwi oyo bato mingi balukaka sima ya kozwa mbongo.	La paix est une richesse que beaucoup cherchent après avoir gagné de l'argent.	Le succès matériel ne remplace pas la tranquillité intérieure.
Motema oyo eyebi kotonda ezali mozwi.	Le cœur qui sait être satisfait est riche.	Le contentement est une forme de richesse.
