en	lin
Madame Parker greeted him with a smile.	Mama Parker apesaki ye mbote na bosepeli.
Ten minutes after they passed Nara, the car ran out of gas.	Sima ya monuti zomi na boleki Nara, motuka ezangaki esasi.
Drink a cup of milk. It will do you good.	Mela kopo moko ya miliki. Ekosalisa yo.
She is an efficient and trustworthy assistant.	Azali mosalisi ya makasi pe ya lokumu ya boliki.
In this activity you see the result right away.	Na mosala eye tokomona sika sika oyo elembo.
Everyone went to the party, except Jo.	Banso bakendeki na lipati, longola Jo.
It's good to let the baby cry from time to time.	Ezali malamu kotika mwana kolela tango na tango.
Some of his officers protested.	Boko ya ba ofisye naye baboyaki.
You should think about the kind of work you want to do.	Esengeli okanisa mosala nini olingi kosala.
Don't back down!	Kozonga sima te!
Modest and unimaginative, Justin knew evil only by hearsay.	Modeste azangi makanisi, Justin ayebi mabe se na bilobaloba.
Mathis is haunted by the demons of his past.	Mathis atambwisami na ba zabolo ya tango naye eleka.
I'm going back to see the doctor next Friday.	Nakozonga komona monganga mokolo ya mitano ezali koya.
They take turns getting up to dance on the dance floor.	Ezali na ngala ete bakotelema po na kobina na esika ya libini.
Action is a series of desperate acts that buys time.	Ekela ezali molongo ya bikela ya bolongoli elikya eye ekosalisa kozwa ngonga.
What happened, Sally?	Nini elekaki, Sally?
I wanted to portray a man who probably did a lot of harm to the people around him.	Nalingaki kotika elili ya moto oyo nabomoni asalaka mabe mingi na bato zinga zinga naye.
If you learn card tricks, you'll always be the star of the party.	Soki oyekoli kosala zolonganu na ba kalati okozala tango nyonso bobendi ya pokwa.
None of the four boys had an alibi.	Moko te ya bilenge bane azalaki na posa.
Wanting proof that I'm right means admitting that I could be wrong.	Kolinga bilembo ete nazali na tina elingi koloba ete nakoki pe kozala na mbeba.
I hope it will work.	Naliki ete ekotambola.
She didn't say a word and seemed lost in thought.	Nazalaki koloba ata liloba yoko te pe azalaki lokola moto abungi na makanisi maye.
The coldest winter I ever experienced was a summer in San Francisco.	Eleko ya elanga eleki malili eye nabika ezalaki eleko ya molunge na San Francisco.
They want answers to questions you shouldn't ask.	Balingi biyano na mituna eye bosengeli kotuna te.
The Lord drives a Ford.	Lord atambolaka na motuka ya Ford.
You should go out and have fun.	Esengeli bobima pe bosanaka.
Some say it's human nature to root for the underdog.	Baike balobi ete ezali na lizalisami ya bomoto ya kosalisa bopaya.
Tatoeba: ever heard of sentence battles? Yeah, that's what we do to relax.	Tatoeba: Esi oyoka koloba bitumba ya bisakola? Malamu, oyo nde esalemaka po na kopema.
I was in such a hurry that I forgot to lock the door.	Nazalaki penza mbangu ete nabosanaki kokanga ezibeli na fungola.
Well I never! You really believe they're going to lay down their arms? Yeah, right!	Yango pe! Bondimi yango ete bakotika mandoki? Olobi!
Hello, this is Hugo. I'd like to speak to Ann.	Alo, ezali Hugo. Nalingi kosolola na Ann.
One year, Mr. and Mrs. Davis were invited to a Christmas Eve party at a hotel.	Mbula moko eleki Tata pe Mama Davis babyangemaki na butu ya eyenga ya mbotama ya Yesu na lotele.
Although I have almost no money, I'm happy with you.	Ata ko nazali na mbongo soki moke te, nazali na esengo elongo nayo.
No possible escape: it's a dead end. We're trapped like rats.	Mokalo ata moko te ekosalema: ezali nzela ezangi esika ya koleka. Batyeli biso motambo lokola ba puku.
Bruce was terribly disappointed when his girlfriend left him, but he got over it shortly after.	Bruce asisolami makasi penza tango moninga naye wa bolingo etikaki ye, kasi amizongisaki sima ya mwa tango.
Please be kind enough to lock the door when you leave.	Zaka na boboto ya kokanga ezibeli na fungola soki obimi.
I made you be present and alert.	Nabosani yo ozali awa pe na bokebi.
I remember last summer's adventure.	Nakundoli libaku ya eleko ya molunge elekaki.
I wish he had gone to university.	Nalingaki ete akende na eteyelo ya likolo.
Would you like a tray with that?	Bolingi sani na?
It would seem that you were wrong.	Ezalaki lokola bozalaki na mbeba.
Samy is becoming very interested in Islam.	Samy azali kosepela mingi na isilami.
My transfer abroad was an opportunity for me to wipe the slate clean and start over on a new footing.	Motindi na ngai na mboka ya bapaya ezalaki eleko po na ngai kolongola makambo nyonso ya kala pe kobanda lisusu makambo ya sika.
Quintus is angry and hits Marcus.	Quintus azali na kanda pe abeti Marcus.
You crazy person!	Moto ya liboma!
I receive a lot of letters and I always answer them.	Nazwaka ba koma mingi pe nayanolaka mango tango nyonso.
You are the greatest girlfriend I've ever had.	Ozali elenge mwasi bonzenga makasi oyo natikala kozwa te.
My father is good at cooking. As for my mother, she's good at eating.	Tata na ngai azali na makoki penza ya kolamba. Po na mama na ngai, azali na makoki penza ya kolya.
Hey, keep your distance from the boss today, he seems really annoyed about something.	Eh, bozala mosika na mokonzi, lelo, azali komonana asiliki po na likambo songolo.
I have a feeling you might want to see these.	Nakanisi ete okolinga komona maye.
The diamond necklace was fake.	Pauni ya dyama ezalaki ya mabe.
Get out or come in.	Bima to kota.
At only nineteen, Joseph Louis Lagrange laid the foundations of the calculus of variations.	Kaka na mbula zomi na libwa, Joseph Louis Lagrange etye misisa ya mituya ya mbongwana.
"""Draw near: the altar of our gods will defend us, / or beneath the same blade we shall all perish. """	"""Bopusana: na ba nzambe na biso ya lotale bakobundela biso, / po na se ya ebende mei banso tokokufa. """
He married his high school sweetheart.	Abali bolingo na ye ya kelasi.
Reproach is like the wind; if you see it, you feel it.	Epaleli ezali lokola mopepe; soki omoni yango, oyoki yango.
I would like to give Nathan something special for his birthday.	Nalingi kobonzela Nathan eloko ya motuya penza na eyenga naye ya mbotama.
Don't tell Louis you're a cop.	Koyebisa Louis te ete ozali polisi.
The bear left no place unsearched as it looked for juicy insects.	Ours atiki te koluka esika mosusu tango azali koluka nyama eke ya mai mingi.
I cannot ignore the orders of my superior officer.	Nakoki te kobunga mibeko ya mokonzi na ngai.
Since I had forgotten my cell phone, I was glad that there are still emergency call points.	Lokola nabosanaki aloalo na ngai, Nasepeli ete ezali na bisika ya bobengi na aloalo na tango ya lombango penza.
"Ciceron alobaki ete ""Kimia ya bozángi bosémbo eleki etumba esembo""."	"Ciceron alobaki ete ""Kimia ya bozángi bosémbo eleki etumba esembo""."
She dreamed that a prince came on a white horse to take her away.	A loti mwána wa mokonzi aye likolo ya mpunda ya pembe pona ko mema ye.
Gordon is interested in the Japanese way of life.	Gordon a sepelisi na ndenge yako  bika ya ba japonais.
Thanks for the chocolate! I hope you liked the crepes, and I hope you had a good day too.	Matondi pona sokola! Naza na elikya galeti esepelisaki yo, naza pe na elikya ozo likesa mokolo kitoko.
Your boyfriend got tired of waiting for you and just left.	Moninga nayo alembi ko zela. A uti ko kende.
Former French president Nicolas Sarkozy has been placed under formal investigation for influence peddling, active corruption, and receiving stolen goods from a breach of professional confidentiality.	Nicolas Sarkozy, Tata mokonzi ya France atiami na botunituni pona mombongo mwa bonkútú, kanyaka, bobómbi elóko na bobuki ya sekele ya mosala.
The troop was under the command of a lieutenant.	Limpinga ezalaki na see ya molongo ya lietena moko.
A killer robot can select and attack targets without human intervention.	Robo mobomi akoki ko pona  pe ko kobanda kobundisa mokánelami ata lipaso ya moto ezangi.
She looks happy, but deep down inside, she is suffering.	Amonani neti aza na esengo, kasi kati naye, aza na pasi.
Hugo has fun playing a sonatina in C major, going up a semitone using only his right hand.	Hugo azo komi sepelisa nako beta eleli na do ya likolo, azo mata na ndambo ya eleli kaka na loboko ya mobali.
Johnny proposed to Alice and she accepted.	Johnny asengi Alice libala, ye pe andimi.
"""There rises the city of the proud Locrians; / there, ruling in peace over humble Petilia, / Philoctetes is content with a corner of Italy; / and, flooding at last the furrows of Salentum, / Idomeneus afar spreads out his battalions. """	""" Wana, ba fiers Locriens emi monisa na mboka ; / wana, eza yako pesa mibeko na ndenge ya kimya oyo ya humble Pétilie, / Philoctète asepela na coin ya mboka Italie ; / mpe, ba Salente enfin oyo etondisi ba sillons, / Idomenée na mosika azo bongiga mpona ba bataillons naye. """
Berg explained to Vera, with a tender smile, that love came from heaven and did not belong to the earth.	Berg ayonoli Véra na kongwenya ya kolimba, ete bolingo e uti na lola pe eza ya mokili te.
Louis had hidden a little way back, behind a tree trunk, so that she could not see him.	Louis a bombamaki muke na sima ya nzete, na ndenge akokaki ko mona ye te.
Procrastination is like masturbation: it's fun until you realize you're screwing yourself.	Kozongisa ko sala eloko nsima ezali neti ko mi sepelisa yo moko na ba posa ya nzoto: ezali ya esengo ti na tango oko kokisa ete ozo misala pasi yo moko.
Stay tuned. Dan is back after the break.	Tikala na boyoki. Dan ako zonga sima na bopemi.
I don't know any of these boys.	Na yebi ata moko ya mibali oyo te.
The ball narrowly missed Timeo's face as he was leaving the bar completely drunk.	Motopi eleki pembeni ya elongi ya Timeo, na tango azalaki ko bima na nganda nakati ya ko langwa makasi.
"Jerusalem is a city of peace, and for it to be at ""peace,"" all the Palestinians who live there — and even those who have lived there and are buried there — would have to be erased."	"Yerusalemu ezalaki mboka ya kimia, na pona azala na ""kimia"" esengeli ko boma ba nkolo Palestine nionso oyo baza ko vanda kuna, tina na ba oyo bavandaki kuna mpe ba kundami kuna."
Some believe that the British royal family descends directly from the line of King David.	Misusu ba kanisaka ete libota ya mokonzi ya ekólo ya baangelé ba uti semba na etuluka ya nkumu-mobali Davidi.
Justin Bieber is even more famous than Katie Holmes.	Justin Bieber aza na mompela ko leka Katie Holmes.
The aircraft, a Boeing 777-200, which left Kuala Lumpur on Saturday at 0:41 a.m. (Friday 5:40 p.m. in Paris), was due to arrive in Beijing at 6:30 a.m. local time (11:30 p.m. in Paris).	Ndeke, Boeing 777-200, oyo e utaki Kuala Lumpur mokolo mwa mpóso  na 0 h 41 (mokolo mwa mítáno 17 h 40  na Paris), esengaki ko koma na Pékin na 6 h 30 (23 h 30 na Paris).
Satellite tracking tools raise new questions about privacy for a legal system that has not kept pace with technology.	Bisaleli ya bomoni nako leka nzela ya ba satellite ememi mituni ya sika ya boyéi likolo ya mobongisano ya mibeko oyo etikali ko kokana te na mayele ya kosala ya lelo.
The society they live in is very different from ours.	Lingomba ya lelo ekeseni mingi na oyo ya biso ya kala.
The police got the better of him, so he is now in prison.	Ba mbila ba longi ye, yango lelo  asuki na ndako ya kaka.
Jessica had sung a song.	Jessica ayembaki nzembo.
I noticed he's not doing a thing. Feels like vacation time!	Na lembetelaki ete azo kokina ata muke te. Neti tango ya bopemi ebandi!
I will tell you everything you want to know.	Nako yebisa yo nionso olingi ko yeba.
I didn't believe a single word of what Arthur told me.	Na ndimaki ata eloko moko te na oyo Arthur ayebisaki nga.
He tried to catch up on his lack of sleep by taking a nap.	A mekaki ko lala muke pona ko zongela bozangi bua ye bua pongi ya moke.
Christianity has done a lot for love by turning it into a sin.	Matéya ma Krístu esali ebele pona bolingo pe masumu.
For a kiss, what must be considered above all? Singer Max Raabe answers this important question.	Pona lipwépwe,  nini oyo esengeli ko sala liboso? Moyembi Max Raabe ayanoli na motuya oyo ya motuya.
I don't know what weapons World War III will be fought with, but World War IV will be fought with sticks and stones.	Nayebi te soki na minduki nini  etumba ya misatu ya mokili mobimba eko salema, kasi ya mine ekosalema na fimbo pe na mabanga.
Only a male intellectual clouded by sexual desire could have called the fair sex the scaled-down model, with narrow shoulders, wide hips, and short legs.	Mpenza moto wa mayéle ya mobali oyo posa ya nzoto etie na molili akokaki ko benga nzoto ya muasi eloko ya muke, oyo ya lipeka muke, ngei minene pe na makolo ya mike.
Why are you afraid of Derek?	Ozo banga Derek pona nini?
Seatbelts are useless, they've never saved the life of a single Chinese person on the road! Well, then again, it's true they don't wear them...	Nkámba ya ekenge eza tina te, etikali ko bikisa ata Chinois moko te na nzela! Malamu, kasi, oyo ya solo ezali ete bango balataka ango te.
We believe it is our duty, for the sake of human freedom, human dignity, and human prosperity, to reclaim from heaven the goods it has stolen from the earth, in order to give them back to the earth.	Pona lipanda ya mutu, pe pona lokumu na bolamu ya mutu, to sengeli ko botola lola biloko oyo ayiba mokili, pona ko zongisa ango na mokili.
I'm glad you asked that question.	Na sepeli na ndenge otuni lituni oyo.
He often recalls his memories from his high school days.	A betelaka biso lisolo ya ekundoli naye ya tango azalaki ko tanga.
Some young girls are attracted to gang members because it seems exciting to them.	Bana basi misusu baza ko bendama na batu ya ekunda po eza neti esengisi na miso na bango.
Practical recording test on MPEG-4 AVC: traditionally easy to use, it now offers high image and sound quality.	Limeki ya bosali ya libateli na MPEG-4 AVC: na bonkóko ezalaka pete, kasi ekomi sika oyo na elilingi pe na elili ya malonga.
Get the hell out of here!	Bo bima awa!
Happy birthday!	mokangya pona mokolo ya mbotama nayo.
He managed to escape through the window.	Ami bongisi pona ko kima na nzela ya Iininisa.
The attempt to make paradise real on earth always brings hell.	Ko meka ko sala lola ekoma ya solo na mokili ememaka kaka lifelo.
Keep the kid away from the pond!	Ko tika muana pembeni ya eziba te !
Oh, this terrible love has irremediably mowed down all the new flowers of my soul.	O, bolingo oyo ya somo ekati mbe nionso ya elimo na nga.
Sylvie had suddenly resolved to catch the colonel and Pierrette by surprise, seize the letters, and expose the two lovers who were deceiving her.	Sylvie ayanganaki mbalakaka ko kanga kolonele na Pierrette, mpe ko botola mikanda, mpe kobulunganisa ba makango oyo mibale bazalaki ko kosa ye.
Sabu became an FBI informant.	Sabu akoma mokengi ya FBI.
Without knowledge of foreign languages, you will never be able to understand the silence of foreigners.	Kozanga ko yeba minoko ya ba paya eza ko zanga ko kokwa kimya na bango.
Cut the meat into thin slices.	Kata misunyi eteni mike mike.
It is our duty to leave to posterity what we know and what we will have gathered.	Toza na lotomo ya ko tikela ba nkoko oyo to yebi mpe oyo to buka.
There were no witnesses.	Ko zalaki ata nzénénéké moko te.
It seems the new English teacher is a handsome guy who looks like Nathan Cruise.	Na yoki ete moteyi ya angele aza mobali monzenga akokani na Nathan Cruise.
I apologize for what happened here.	Na sengi bolimbisi pona oyo elekani awa.
His nephew lives in America.	Mwana-nkasi naye a vandi na Amerique.
A carbon footprint is the total carbon dioxide pollution we produce through our activities. Some people try to reduce their carbon footprint because they are worried about climate change.	Elembetele ya kaboni ezali abakiso ya bobebisi na nzela ya dioxyde ya kaboni oyo tozali ko bimisa na nzela ya misala na biso. Batu misusu bazo luka ko kitisa elembetele ya kaboni na bango mpo baza na bobangi ya mbongwana ya kilima.
"""I wonder where he went."" ""No use looking for him. He's in the bathroom chatting on his phone."""	"""Nazo mituna alekeli nzela nini."" ''Ntina te ya ko luka. Aza sima ndako azo solola na telefoni."
What a cute baby. Hi there!	Muana muke kitoko mpeza. Mbote!
« What happened to you, Berthe? », asked Noah as he gently carried the poor madwoman to the back.	« Nini ekomelaki yo, Berthe ? », atunaki Noah tango azo mema na malembe muana muasi ya liboma na sima.
He who asks a question risks looking foolish for five minutes. He who doesn't ask questions will remain foolish for his whole life.	Oyo ako tuna aza na likama yako bima zoba miniti tano. Oyo a tuni te ako tikala zoba bomoi naye mobimba.
Hey Thomas, I heard through the grapevine that you and Suzie are dating. Congrats!	Eh Thomas, nayoki na masolo ete yo na Suzie bokomi elongote lisanga. Longonya!
The plane is approaching New York.	Ndeke ekomi pembeni na New York.
The animal at the top left is supposed to be a dragon.	Niama likolo kuna na ngambo ya muasi ekokanisa na engilíma.
They caught the thieves red-handed.	Ba kangi moyibi na likambo na maboko.
Hmm! Can you accept that?	Hum! Yo okoki ko ndima ango?
By pushing his luck too far, he won't be offered anything anymore.	Kolutisa ebele, ako ya ko zanga nionso.
Death is like a competition where everyone hopes to come in last.	Liwa eza neti momekano esika batu nionso balingi bakoma mutu ya suka.
January is the month of the god Janus, the two-faced god of passages and doors.	Yanwari eza sanza ya esesli Janus, eseseli ya elongi lipasa, ya ba nzela mpe ezibeli.
Luca disappeared without a trace.	Luca a limwe neti na ndoto.
The doctor took my pulse.	Monganga azui ngonga na nga.
Evolution proceeds like a tinkerer who, over millions upon millions of years, would slowly rework his creation, constantly touching it up, cutting here, lengthening there, seizing every opportunity to adjust, transform, and create.	Epusaneli aza neti mosalisi oyo, na ba mbula ebele makasi, azo bongola malembe malembe musala naye, nako kata awa, ko benda awa, ako kobumela mondongo nionso pona kolongibinya, kobongolanisa, kokela.
Henry has no more than six dollars.	Henry azangi ata dollar motoba.
Are you able to jump over a chair from a standing position?	Ozali na bokoki ya ko pumbuka likolo ya kiti ko lungwa na etelemelo?
This kid who won't stop yelling is really getting on my nerves!	Muana muke oyo azo ganga boye, azali ko pesa ngai kanda!
At first, I was just looking at the French sentences, but before I knew it, I was captivated by their translation.	Na ebandeli, nabandaki ko tala kaka masakola ya lifalanse, kasi liboso na yelibinya nazalaki yako senginya na libongoli na bango.
You know that's illegal, right?	Oybe ete eza bobuki mobeko, na kosi ?
There is no cure for an inferiority complex.	Kisi ya nsoni ya bonse ezali te.
In the video, you can clearly see one of the occupying soldiers fighting with women as he tries to arrest a twelve-year-old girl.	Na kati ya video emonani na sangisangi ete soda moko ya bobotoli azo ko bunda na bana basi pona ko kanga muana muke ya mbula zomi na mibale.
The commission will make a decision during the winter session, scheduled for late October.	Komisyo eko zua mokano na tango ya mosala oyo eko salema na tango ya malili ya sanza ya zomi.
A false but widespread idea about Christopher Columbus is that he once impressed a tribe of natives by predicting a lunar eclipse. The truth is that he actually caused it.	Likanisi ya lokuta oyo esi panzani likolo ya Christophe Colomb eza ete mokolo moko a kamwisaki ingili ya bai-mboka na tango aloba mambi makoya likolo ya ekilipisi. Solo eza ete ye nde a bandaki ango.
Can you give me the zip code for New York?	Bokoki ko pesa nga kobuba ya posita ya New York?
To my husband, I am the coat rack for his luxury, the signboard of his ambitions, one of his vain satisfactions. He has neither true affection nor trust for me.	Pona mobali nanga nazali ebaka kazaka ya lipombo naye, elembo ya monene-ya-posa naye, moko na bosepeli ya lipombo naye. Aza ata na bolingo to elikiya na nga.
There is a professor who claims that even if Alex uses words well, it would be a serious mistake to call that a language.	Kozali moteyi moko oyo azo loba polele ete soki Alex asaleli maloba oyo malamu, eko zala libunga monene yako benga yango mangala.
"My pitiful life has only contributed to global warming. » « "" "" Don't be so sad. You make me a happy woman. Do you think that's absurd? »"	"Bomoyi na nga ya mawa ezali ko bakisa ndenge mokili ezali kokoma moto koleka. » « "" "" Ko zala mawa te. Komisa nga muasi ya esengo. Okanisi oyo eza eloko ya buzoba? »"
"Many people, even on Tatoeba, mistakenly write ""mn"" instead of ""min"" as the abbreviation for minute."	"Batu ebele, ata na Tatoeba, bazali ko sala mbeba na ko koma ""mn"" esika ya ""min"" pona ko kondisa  ya minite."
The star's meeting with her fans caused a crowd surge.	Bokutani ya oyo ayebana na ba fana naye ememi ebele ya batu.
Watch the place while I'm gone.	Bomba lobwaku tango na bimi.
New Russians, you say? Wonderful! That's exactly what we needed!	Olobi Ba Russes ya sika? Likamwa! Na ndenge tolingaki penza!
Don't be afraid to try new things.	Ko banga te to meka biloko ya sika.
It is not uncommon for great suffering to follow great love.	Monyokoli munene ememaka mpe bolingo munene.
Danny has no sense of beauty.	Danny ayebi makambo ya kitoko te.
Can a being create fifty billion galaxies, each with a hundred billion stars, and then delight in the smell of burning goat meat?	Oyo a keli ntuku itano mobwa ya minzoto, akoki ko sepela na solo ya niama ya ntaba ya ko tumba?
People who talk a lot about themselves — however excellent they may be otherwise — give the impression of being immature.	Batu oyo bami kumsisaka ebele, ata soki eza pona makambo ya malonga koleka, ba zalaka kaka neti bazanga mayele.
Both opinions have merits and demerits, so I won't decide right away which one to support.	Makanisi oyo mibale mazali na ya malamu pe na ya mabe, yango nako kata likambo sika sika oyo te.
He was promoted to the rank of sergeant.	Ba matisi ye na mompete ya seleza.
It seems that a lot of damage was caused by yesterday's battle.	Na moni ete bitumba ya lobi ememi bobebi ebele.
Within an Egyptian temple reigned a spirit of solemn simplicity.	Na kati ya tempelo ya ba egypito kozalaki molimo moko ya bompamba makasi.
Marika is the kind of girl who can give you a solid punch in the face if she gets jealous.	Marika aza lolenge ya basi oyo akoki ko beta yo likofi na elongi soki aza na zuwa.
My favorite TV show has been cancelled.	 Pologalami na nga oyo na linga ya televizo ekolongani.
French Data Network is the association that I chair.	Nazo kamba litondoli ya French Data Network.
The rainy season will end in two weeks or a bit more.	Mvula eko sila moene ya poso mibale.
You'd better think carefully before agreeing to do that.	Osengeli ko kanisa malamu liboso ya ko ndima ko sala ango.
John Wayne was one of the most popular movie stars of this century.	John Wayne azalaki moko na ba oyo bayebana makasi na sekulo oyo.
What are the first five letters of your email address?	Pesa nga kalaka mitano ya liboso ya ngambo nayo?
We would like to go back to the page where we love, and the page where we die is already under our fingers!	To lingi to zonga na lokasa esika bolingo ezali, mpe lokasa esika liwa ezali ekomi naino na misapi!
As far as I know, he is one of the best doctors in the city.	Na ndenge nayebi, aza munganga oyo aleki malamu na engumba.
Can you drop me off at the office on Wednesday?	Okoki ko tika nga na mosala mokolo mwa misato.
The night was full of silence, and the sky had an immense height. Clusters of trees spilled over the long lines of the walls. The whole city was asleep. The outpost fires glowed like stray stars.	Butu etondaki kimia, pe likolo emonanaki likolo yako leka. Maboke ya ba nzete ezalaki ko sopana, likolo yaba nzela ya efelo. Engumba mobimba elalaki. Minda ya ndako ya nsilinzi ebandaki ko ngela neti minzoto.
After one or two large factories are built on the outskirts or within a city, people come looking for work, and soon an industrial zone begins to develop.	Nsima ya ko tonga moko to bisalelelo ya minene mibale na ndelo, to na kati ya engumba, batu baye ko luka misala, na muke ndámbo ya etando monana ekoli.
We don't see each other every day, so every time we meet, we're happy to see each other.	To monanaka mikolo nionso te, yango tangu nionso to monanaka to sepelaka.
"'' Have no doubt about this happy omen; / just go forward, and follow this road; / it leads to Carthage. """	"'' Likolo ya sango oyo ya esengo kozala na tembe te; / kende kaka liboso, pe landa nzela oyo; / eko mema yo na Carthage. """
It seems that Carol and Will broke up.	Na yoki sango ete Carol na Will bakati bolingo nabango.
You're very generous. Well, if you want to pay for me, I don't mind.	Oza mutu ya bikamwisi ebele. Bah, soki olingi ko futela nga, mabe te.
A year and a half ago, I almost died.	Tozalaki mbula moko na ndambu, na lingaki na kufa.
He got out of prison by digging a tunnel.	Akimi boloko na nzela ya nse ya mabele.
In hard times like these, no ordinary effort can pull our company out of the red.	Na ntangu ya pasi neti oyo, makasi ya momeseno ekoki ko bimisa kompani na biso na bokwei te.
The poet said: «I love cats more than dogs because cats don't work with the military».	Mokomi ntoki alobaki: «Na lingi nyawu ko leka mbwa po nyawu asalaka te na sokoro».
It seems you've regained your self-confidence.	Na moni neti ozongisi boliki elikya na yo moko.
Cleanliness is the work of clean people.	Bopeto eza mosala ya batu ya peto.
When trust in our institutions is low, we should reduce the corrosive influence of money in our politics, and insist on principles of transparency and ethics in public service.	Na tango elikia to tia na kati yaba ekonzelo na biso ekomi ngotobobo, tosengeli ko kitisa ebuloa ya eliaka ya mbongo nakati ya mopelengano na biso, mpe kolendendala litosi ya bomonisi pe nkwakolo na mosoko ya bato banso.
I didn't expect what was about to happen.	Nakanisaki te elingaki ko koma.
I don't just feel friendship for you. I feel more than that. Ever since I've known you, I've fallen in love with you.	Naza kaka te na molukano ya mbamba pona yo. Oyo nazo yoka eleki wana. Banda nayebi yo, na linga yo makasi.
Wow! Your idea is brilliant.	Ko kamwa! Likanisi nayo eza ya mayele mpenza.
Would you like to join me to practice ballroom dancing?	Olingi ko pusana pembeni na nga po to meka mabina na ndako?
I know your numbers.	Nayebi ba nimero na bino.
« But the perfect crime doesn't exist », replied the man, on whose property the car was found, « ...at least not until I get my vehicle back ».	« Kasi lizimi ya kobongo nye ezalaka te », ndenge mutu oyo ndako naye ebombaki mutuka azongisaki, nako loba, «...soki na zui nanu lisusu mutuka na nga  ».
Algerians support the criminal Algerian army and the corrupt Algerian regime only out of pure hatred for the Kabyles.	Ba nkolo algerie bazo ko temisa limpinga ya babomi ya algerie mpe na bokonzi monyakami kaka mpona boyini likolo ya ba kabyles.
Beth told Chris to wash up, or else she wouldn't go out with him.	Beth ayebisi Chris a sokola, pamba te ako bima naye te.
You're nothing but a bitch.	Oza kaka bulawayo ya pamba.
The English people think they are free; they are gravely mistaken. They are free only during the election of members of parliament: as soon as they are elected, they become slaves, they are nothing.	Bana mboka ya angleterre bakanisi baza na lipanda, bami kosi makasi; baza na lipanda kaka na tango ya maponami ya batu ya palema: na tango ba ponami, bango bakomi bana misala, bazali eloko te.
She baked an apple pie for her husband.	Asaleli mobali baye lipa ya sukali na mbuma.
We have several projects to finish before considering looking for new clients.	Tozali na ntonga ebele yako silisa liboso ya ko kanisa ko luka basombi ya sika.
Tony runs once or twice a year.	Tony akimaka mbala moko to mibale na mbula.
To begin with, there's the common gray shark, called by sailors the "prosecutor of the seas."	"Pona ko banda, kozali mbisi munene ya mbwe Motaabano, oyo batu ya masuwa ba bengi ""likonzi na mayi »."
I'm listening to a Harry Potter audiobook with the portable player I just bought.	Nazali ko yoka mukanda oyo etangami ya Harry Potter na nzela ya apaleyi ya nzembo oyo na uti ko somba.
Frantz de Galais, the son of the manor — who was a student, or a sailor, or perhaps a naval cadet, no one knew… — had gone to Bourges to find a young woman there and marry her.	Frantz de Galais, muana ya ekpangba — oyo azalaki moyekolo to mutu ya masuwa to tango mususu oyo aza na posa yako koma mutu ya masuwa, to yebaki na biso te...— akendaki na Bourges pona ko luka muasi mpe ko bala ye.
When I'm with a crying baby, I feel like crying too!	Tango nazali na muana muke oyo azo lela, naza na posa nga moko yako lele mpe.
From the earliest years of life, we receive, from our parents and those close to us, a certain number of beliefs that shape our search for further information.	Ko banda mbula ya liboso ya bomoyi, to zoko zua ko uta epayi baboti mpe na ba ndeko, boyambi oyo eko mema biso to luka sango yako bakisama.
No other book is read as much as the Bible.	Ata mukanda moko te etangama ko leka Biblia.
Jim runs as fast as Ron.	Jim azo ko kima mbangu ko leka Ron.
Leading a fulfilling life comes down to a simple question: when you turn off the light at night, and your head rests on the pillow, what do you hear? Your soul singing, or Satan laughing?	Ko zala na bomoi yako mi sepelisa ezo zongisa na lituni obe moko: na tango obomi muinda na butu, mpe mutu nayo elali likolo ya mbeto, nini ozo yoka? Elimo nayo ko yemba to ko seka Satana?
Alain described his wife as an impetuous girl, who spoke fast, knew how to lie, and had no sense of modesty.	Alain azalaki ko komola muasi naye neti muana muasi ya matata, oyo alobaka mbangu, ayebaki ko kosa mpe azalaki ata na soni te.
Say stop to sluggish bowels!	To telemisa bolembu ya libumu.
"""The painting needs to be shifted slightly to the right."" - ""Like this?"" - ""There, that was almost too much."""	"""Esengeni ko tindika etanda muke na loboko ya mobali."" - ""Boye?"" - ""Wana elekaki muke ebele."""
Why would you want to share that kind of information with people you barely know?	Pona nini olingi ko kaba sango ya lolendo oyo na batu oyo o uti ko yebana na bango.
Given her total lack of gratitude, after all the efforts I made for her, I tell myself I might as well have pissed into a violin.	Nako mona kozanga maa ya litondo naye, na sima ya lotomo nionso oyo na sali pona ye, na milobi ete na sali mosala ya mpunda.
Keep walking straight and you'll see the bus stop at the corner of the street.	Koba na ko tambola liboso nayo oko mona etelemelo ya bisi na nsuka ya nzela.
Please notify me by email of any bugs detected or missing features you would like to see included in future versions of the body mass index calculator.	Bo yebisa nga na mokanda ya singa miko yonso boko kutana na ngo to oyo ezangi bolingi to bakisa na masini ma kotuya ya ndenge ya nzoto.
To and arie had suddenly lost their respective letter m, the only one they had in common.	To na arie ba bungisaki na mbala moko kalaka ya m, kalaka oyo bazalaki nango na bomoko.
I love smelling the scent of printed paper.	Na lingaka solo ya lokasa ya mokanda.
The discussion continued at the Ministry of Foreign Affairs regarding social integration and the policy on foreigners entering Japan.	Eweli ekobina na Mosongo ya Mambi ya Bosangani na oyo etali ya bokitisi ya lingomba mpe ya mopelengano ya bokoti ya ba paya na Japon.
Without oxygen, all animals would have disappeared long ago.	Soki mopepe te, ba niama nionso balingaki ko sila kala.
I wanted to have a word with you about what happened.	Na lingaki na yebisa yo eloko moko likolo ya makambo oyo elekanaki.
